COMPLAINT_ID,ACCOUNT_NUMBER,COMPLAINT_DATE,CATEGORY,COMPLAINT_REASON,ROOT_CAUSE_DRIVER,CHANNEL,SEVERITY,ESCALATION_FLAG,STATUS,OUTCOME,RESOLUTION_TYPE,RESOLUTION_DAYS,GOODWILL_AMOUNT,GSOP_COMPENSATION_FLAG,OMBUDSMAN_REFERRAL_FLAG,REPEAT_COMPLAINT_FLAG,VULNERABLE_CUSTOMER_FLAG
1,6000001497,2025-03-28,Refund Delay,Refund promised but not processed,No specific system driver,Phone,Medium,False,Resolved - Upheld,Upheld,Refund Issued,5,24.1,False,False,False,False
2,6000004560,2025-09-28,Payment / Direct Debit,DD taken twice in one month,Payment / Direct Debit,Phone,Low,False,Resolved - Upheld,Upheld,Process Correction & Staff Feedback,7,0.0,False,False,False,False
3,6000004560,2026-03-03,Billing - Estimated Read,Estimate far above typical usage,Billing - Estimated Read,Phone,Low,False,Resolved - Upheld,Upheld,Apology,9,0.0,False,False,False,False
4,6000000904,2025-06-24,Debt / Collections Practice,Debt not owed - previous occupier,Debt / Collections Practice,Phone,Medium,False,Resolved - Upheld,Upheld,Process Correction & Staff Feedback,8,0.0,False,False,False,False
5,6000007582,2026-06-14,Final Bill / Move Out,Final bill not received,Final Bill / Move Out,Email,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,7,0.0,False,False,False,False
6,6000007582,2026-07-13,Debt / Collections Practice,Debt not owed - previous occupier,Debt / Collections Practice,Email,Medium,False,Resolved - Upheld,Upheld,Apology,7,0.0,False,False,True,False
7,6000018338,2025-01-21,Website / App,Cannot submit meter reading online,No specific system driver,Email,Low,False,Resolved - Upheld,Upheld,Apology,14,0.0,False,False,False,False
8,6000018338,2026-04-03,Debt / Collections Practice,Collections letter tone aggressive,Debt / Collections Practice,Phone,Medium,False,Resolved - Not Upheld,Not Upheld,No Action Required,10,0.0,False,False,False,False
9,6000007229,2025-04-16,Website / App,Login/registration failure,No specific system driver,Social Media,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,12,0.0,False,False,False,False
10,6000006719,2026-02-06,Billing - Estimated Read,Catch-up bill after long estimation period,Billing - Estimated Read,Webchat,Low,False,Resolved - Upheld,Upheld,Apology,1,0.0,False,False,False,False
11,6000010289,2024-11-26,Missed Appointment,Appointment cancelled same day,No specific system driver,Phone,Low,False,Resolved - Partially Upheld,Partially Upheld,GSOP Compensation,2,30.0,True,False,False,False
12,6000003244,2025-08-04,Billing - Estimated Read,Estimate far above typical usage,Billing - Estimated Read,Phone,Low,False,Resolved - Upheld,Upheld,Goodwill Payment,6,12.89,False,False,False,False
13,6000004009,2024-12-09,Payment / Direct Debit,DD amount increased without notice,Payment / Direct Debit,App,Low,False,Resolved - Upheld,Upheld,Refund Issued,12,24.65,False,False,False,False
14,6000004009,2025-02-21,Payment / Direct Debit,DD cancelled in error,Payment / Direct Debit,Letter,Low,False,Resolved - Partially Upheld,Partially Upheld,Refund Issued,6,27.38,False,False,True,False
15,6000004009,2025-05-08,Payment / Direct Debit,DD cancelled in error,Payment / Direct Debit,Phone,Low,False,Resolved - Upheld,Upheld,Refund Issued,1,28.03,False,False,True,False
16,6000004009,2025-09-11,Payment / Direct Debit,DD amount increased without notice,Payment / Direct Debit,Phone,Medium,True,Resolved - Upheld,Upheld,Process Correction & Staff Feedback,24,0.0,False,False,False,False
17,6000004009,2026-01-19,Refund Delay,Final credit refund overdue,No specific system driver,Letter,Medium,False,Resolved - Upheld,Upheld,Refund Issued,5,20.72,False,False,False,False
18,6000013463,2024-11-20,Refund Delay,Credit refund not received,No specific system driver,Phone,Medium,False,Resolved - Upheld,Upheld,Refund Issued,5,10.41,False,False,False,False
19,6000003851,2026-05-04,Missed Appointment,Appointment cancelled same day,No specific system driver,Webchat,Low,False,Resolved - Partially Upheld,Partially Upheld,GSOP Compensation,8,30.0,True,False,False,False
20,6000015741,2025-05-12,Missed Appointment,Engineer did not attend booked slot,No specific system driver,Phone,Low,False,Reopened,Partially Upheld,GSOP Compensation,1,30.0,True,False,False,False
21,6000011822,2025-10-01,Missed Appointment,Appointment cancelled same day,No specific system driver,Letter,Low,False,Resolved - Upheld,Upheld,Apology,11,0.0,False,False,False,False
22,6000000439,2026-08-15,Debt / Collections Practice,Collections letter tone aggressive,Debt / Collections Practice,Webchat,Medium,False,Open,,,0,0.0,False,False,False,True
23,6000006339,2025-07-02,Debt / Collections Practice,Debt not owed - previous occupier,Debt / Collections Practice,Phone,Medium,False,Resolved - Partially Upheld,Partially Upheld,Apology,6,0.0,False,False,False,False
24,6000021385,2026-02-19,Smart Meter Installation,IHD not working after install,Smart Meter Installation,Phone,Medium,False,Reopened,Partially Upheld,Goodwill Payment,11,24.88,False,False,False,False
25,6000021385,2026-08-21,Payment / Direct Debit,DD amount increased without notice,Payment / Direct Debit,Phone,Low,False,Open,,,0,0.0,False,False,False,False
26,6000019280,2025-03-28,Billing - Back Billing,Charged for usage older than 12 months,No specific system driver,Phone,Medium,False,Resolved - Upheld,Upheld,Bill Adjustment / Credit,11,60.12,False,False,False,False
27,6000019280,2025-10-20,Debt / Collections Practice,Debt not owed - previous occupier,Debt / Collections Practice,Email,Medium,True,Resolved - Upheld,Upheld,Payment Plan Set Up,48,0.0,False,False,False,False
28,6000019280,2025-11-21,Payment / Direct Debit,DD taken twice in one month,Payment / Direct Debit,Webchat,Low,False,Resolved - Upheld,Upheld,Process Correction & Staff Feedback,1,0.0,False,False,True,False
29,6000019280,2025-12-03,Debt / Collections Practice,Chased for balance under dispute,Debt / Collections Practice,Phone,Medium,False,Resolved - Upheld,Upheld,Process Correction & Staff Feedback,13,0.0,False,False,True,False
30,6000022918,2024-11-07,Payment / Direct Debit,DD amount increased without notice,Payment / Direct Debit,Phone,Low,False,Resolved - Upheld,Upheld,Process Correction & Staff Feedback,13,0.0,False,False,False,False
31,6000000186,2025-02-20,Billing - Estimated Read,Catch-up bill after long estimation period,Billing - Estimated Read,Phone,Low,True,Resolved - Partially Upheld,Partially Upheld,Apology,39,0.0,False,False,False,True
32,6000000186,2025-07-01,Debt / Collections Practice,DCA contact despite payment plan,Debt / Collections Practice,Webchat,Medium,False,Resolved - Partially Upheld,Partially Upheld,Payment Plan Set Up,12,0.0,False,False,False,True
33,6000002577,2026-02-23,Final Bill / Move Out,Charged after move-out date,Final Bill / Move Out,Social Media,Low,True,Resolved - Upheld,Upheld,Refund Issued,37,24.28,False,False,False,False
34,6000019917,2025-08-10,Billing - Estimated Read,Smart meter not sending reads,Billing - Estimated Read,Social Media,Low,False,Resolved - Upheld,Upheld,Apology,2,0.0,False,False,False,False
35,6000019917,2025-10-24,Debt / Collections Practice,Chased for balance under dispute,Debt / Collections Practice,Phone,Medium,False,Resolved - Not Upheld,Not Upheld,No Action Required,6,0.0,False,False,True,False
36,6000019917,2025-11-07,Payment / Direct Debit,Payment not credited to account,Payment / Direct Debit,Webchat,Low,False,Resolved - Partially Upheld,Partially Upheld,Process Correction & Staff Feedback,3,0.0,False,False,True,False
37,6000002735,2025-05-04,Refund Delay,Refund promised but not processed,No specific system driver,Webchat,Medium,False,Resolved - Upheld,Upheld,Refund Issued,5,16.66,False,False,False,True
38,6000002735,2026-02-10,Payment / Direct Debit,DD cancelled in error,Payment / Direct Debit,Phone,Medium,False,Resolved - Not Upheld,Not Upheld,No Action Required,14,0.0,False,False,False,True
39,6000024689,2025-07-12,Smart Meter Installation,Installer missed appointment,Smart Meter Installation,Email,Medium,False,Reopened,Upheld,Goodwill Payment,5,43.04,False,False,False,False
40,6000014181,2025-05-03,Final Bill / Move Out,Charged after move-out date,Final Bill / Move Out,Email,Medium,False,Resolved - Upheld,Upheld,Bill Adjustment / Credit,2,43.41,False,False,False,False
41,6000014181,2025-07-09,Debt / Collections Practice,Chased for balance under dispute,Debt / Collections Practice,Phone,Medium,False,Resolved - Upheld,Upheld,Payment Plan Set Up,11,0.0,False,False,True,False
42,6000007139,2025-07-03,Meter Reading Dispute,Reader could not access meter,No specific system driver,Email,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,12,0.0,False,False,False,False
43,6000007139,2026-01-01,Customer Service,Conflicting information from agents,No specific system driver,App,Low,False,Resolved - Upheld,Upheld,Goodwill Payment,11,24.96,False,False,False,False
44,6000015864,2026-02-25,Billing - Back Billing,Large catch-up bill without warning,No specific system driver,Email,Medium,True,Resolved - Upheld,Upheld,Bill Adjustment / Credit,15,45.16,False,False,False,False
45,6000016014,2026-05-26,Billing - Estimated Read,Catch-up bill after long estimation period,Billing - Estimated Read,App,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,13,0.0,False,False,False,False
46,6000003561,2026-05-27,Billing - Back Billing,Charged for usage older than 12 months,No specific system driver,Email,Medium,True,Resolved - Partially Upheld,Partially Upheld,Goodwill Payment,18,26.33,False,False,False,False
47,6000009034,2024-11-20,Smart Meter Installation,Installation left supply off,Smart Meter Installation,Phone,Medium,False,Resolved - Partially Upheld,Partially Upheld,Apology,7,0.0,False,False,False,False
48,6000009034,2025-02-09,Payment / Direct Debit,Payment not credited to account,Payment / Direct Debit,Email,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,12,0.0,False,False,True,False
49,6000009034,2026-08-16,Contract / Pricing,Exit fee disputed,Contract / Pricing,Email,Low,False,Open,,,0,0.0,False,False,False,False
50,6000019126,2025-06-08,Customer Service,Conflicting information from agents,No specific system driver,Phone,Low,False,Resolved - Upheld,Upheld,Process Correction & Staff Feedback,13,0.0,False,False,False,False
51,6000019126,2025-12-23,Final Bill / Move Out,Final bill based on estimate,Final Bill / Move Out,Email,Medium,False,Resolved - Upheld,Upheld,Bill Adjustment / Credit,13,25.57,False,False,False,False
52,6000021471,2025-10-04,Vulnerable Customer Handling,Support not offered during debt contact,No specific system driver,Phone,High,False,Resolved - Upheld,Upheld,Process Correction & Staff Feedback,8,0.0,False,False,False,False
53,6000009756,2025-04-06,Website / App,App shows wrong balance,No specific system driver,Phone,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,3,0.0,False,False,False,False
54,6000009756,2026-02-10,Customer Service,Long call wait times,No specific system driver,Phone,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,9,0.0,False,False,False,False
55,6000019615,2025-05-24,Customer Service,Conflicting information from agents,No specific system driver,Social Media,Low,False,Resolved - Upheld,Upheld,Process Correction & Staff Feedback,3,0.0,False,False,False,False
56,6000019615,2026-04-20,Website / App,Cannot submit meter reading online,No specific system driver,Phone,Low,False,Resolved - Upheld,Upheld,Process Correction & Staff Feedback,6,0.0,False,False,False,False
57,6000011612,2025-01-19,Billing - Incorrect Charges,Standing charge miscalculated,No specific system driver,Phone,Low,False,Resolved - Upheld,Upheld,Bill Adjustment / Credit,10,30.75,False,False,False,False
58,6000011612,2025-08-10,Payment / Direct Debit,DD taken twice in one month,Payment / Direct Debit,Email,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,2,0.0,False,False,False,False
59,6000015142,2026-02-20,Billing - Estimated Read,Estimate far above typical usage,Billing - Estimated Read,Phone,Low,False,Withdrawn,Partially Upheld,Apology,9,0.0,False,False,False,False
60,6000008847,2026-05-21,Meter Reading Dispute,Disputed opening read on transfer,No specific system driver,Webchat,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,7,0.0,False,False,False,False
61,6000017348,2024-11-15,Payment / Direct Debit,DD taken twice in one month,Payment / Direct Debit,Email,Low,False,Closed - No Customer Response,Upheld,Apology,9,0.0,False,False,False,False
62,6000017348,2024-12-21,Payment / Direct Debit,Payment not credited to account,Payment / Direct Debit,Phone,Low,False,Resolved - Upheld,Upheld,Apology,11,0.0,False,False,True,False
63,6000017348,2026-07-02,Billing - Estimated Read,Bill based on estimate despite submitted read,Billing - Estimated Read,Email,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,13,0.0,False,False,False,False
64,6000020423,2026-02-22,Payment / Direct Debit,DD amount increased without notice,Payment / Direct Debit,Phone,Low,False,Closed - No Customer Response,Upheld,Apology,9,0.0,False,False,False,False
65,6000016470,2024-08-19,Payment / Direct Debit,DD cancelled in error,Payment / Direct Debit,Phone,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,7,0.0,False,False,False,True
66,6000016470,2025-02-09,Final Bill / Move Out,Final bill based on estimate,Final Bill / Move Out,Email,Low,True,Resolved - Upheld,Upheld,Refund Issued,56,31.88,False,False,False,True
67,6000023876,2024-10-27,Final Bill / Move Out,Final bill not received,Final Bill / Move Out,App,Low,False,Resolved - Partially Upheld,Partially Upheld,Apology,2,0.0,False,False,False,False
68,6000003152,2025-04-14,Debt / Collections Practice,Chased for balance under dispute,Debt / Collections Practice,Phone,Medium,False,Resolved - Upheld,Upheld,Apology,9,0.0,False,False,False,False
69,6000003152,2026-06-17,Debt / Collections Practice,Debt not owed - previous occupier,Debt / Collections Practice,Webchat,Medium,False,Resolved - Not Upheld,Not Upheld,No Action Required,14,0.0,False,False,False,False
70,6000022821,2025-09-05,Customer Service,Conflicting information from agents,No specific system driver,Webchat,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,3,0.0,False,False,False,False
71,6000017047,2024-09-13,Customer Service,Complaint not logged first time,No specific system driver,Phone,Low,False,Resolved - Partially Upheld,Partially Upheld,Process Correction & Staff Feedback,8,0.0,False,False,False,False
72,6000017047,2024-10-14,Billing - Back Billing,Charged for usage older than 12 months,No specific system driver,Phone,Medium,False,Resolved - Upheld,Upheld,Bill Adjustment / Credit,9,34.44,False,False,True,False
73,6000017047,2025-01-21,Vulnerable Customer Handling,Communication format request ignored,No specific system driver,Webchat,High,False,Resolved - Not Upheld,Not Upheld,No Action Required,5,0.0,False,False,False,False
74,6000017047,2026-07-17,Contract / Pricing,Exit fee disputed,Contract / Pricing,Email,Low,False,Closed - No Customer Response,Not Upheld,No Action Required,7,0.0,False,False,False,False
75,6000000948,2025-04-11,Meter Reading Dispute,Disputed opening read on transfer,No specific system driver,Phone,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,4,0.0,False,False,False,False
76,6000000948,2025-12-24,Meter Reading Dispute,Read rejected as implausible,No specific system driver,Phone,Low,True,Resolved - Partially Upheld,Partially Upheld,Apology,16,0.0,False,False,False,False
77,6000024912,2026-02-02,Payment / Direct Debit,DD amount increased without notice,Payment / Direct Debit,Email,Low,False,Resolved - Not Upheld,Not Upheld,No Action Required,6,0.0,False,False,False,False
78,6000014262,2025-04-25,Debt / Collections Practice,Debt not owed - previous occupier,Debt / Collections Practice,Webchat,Medium,True,Reopened,Partially Upheld,Process Correction & Staff Feedback,18,0.0,False,False,False,False
79,6000014262,2025-07-20,Debt / Collections Practice,Collections letter tone aggressive,Debt / Collections Practice,Phone,Medium,False,Resolved - Upheld,Upheld,Payment Plan Set Up,4,0.0,False,False,True,False
80,6000024527,2024-08-18,Billing - Estimated Read,Estimate far above typical usage,Billing - Estimated Read,Webchat,Low,False,Resolved - Partially Upheld,Partially Upheld,Apology,3,0.0,False,False,False,True
81,6000024527,2024-12-03,Debt / Collections Practice,DCA contact despite payment plan,Debt / Collections Practice,Webchat,Medium,False,Resolved - Not Upheld,Not Upheld,No Action Required,1,0.0,False,False,False,True
